state,FIPS,unemployment,incomeLevel,votes Dem percent, votes Rep percent
OK,40017,LOW,NORMAL,0.21114932126696834,0.723420814479638
OK,40019,LOW,LOW,0.21593913559596395,0.7419737765067717
OK,40021,LOW,LOW,0.33086674349487477,0.6060532540789713
OK,40023,HIGH,LOW,0.19634618933382542,0.7754198191548256
OK,40025,LOW,LOW,0.06499535747446611,0.89322191272052
OK,40027,LOW,NORMAL,0.3548103836232918,0.5714011305636354
OK,40029,HIGH,LOW,0.17175094024237358,0.790639364814041
OK,40031,LOW,LOW,0.3519259168102387,0.5892505537779965
OK,40033,LOW,LOW,0.16295157571099156,0.7893927747886241
OK,40035,LOW,LOW,0.21616476289373485,0.7405676704742126
OK,40037,LOW,LOW,0.20266796359341346,0.7482456749808934
OK,40039,LOW,LOW,0.19960117747602316,0.7423796410597284
OK,40041,LOW,LOW,0.21084183673469387,0.752295918367347
OK,40043,LOW,LOW,0.09884238646482636,0.8744434550311665
OK,40045,LOW,LOW,0.08488499452354874,0.8817086527929902
OK,40047,LOW,LOW,0.2024248570901715,0.737506914991702
OK,40049,LOW,LOW,0.17586174152502138,0.7827366821764314
OK,40051,LOW,LOW,0.17423731859639663,0.7769690434470055
OK,40053,LOW,LOW,0.13045454545454546,0.8304545454545454
OK,40055,HIGH,LOW,0.17035864978902954,0.7816455696202531
OK,40057,LOW,LOW,0.22974358974358974,0.7323076923076923
OK,40059,LOW,LOW,0.08821548821548822,0.8801346801346801
OK,40061,HIGH,LOW,0.18631178707224336,0.7809463455851289
OK,40063,HIGH,LOW,0.2123756906077348,0.7485082872928177
OK,40065,LOW,LOW,0.1887009992313605,0.7646682039456828
OK,40067,HIGH,LOW,0.15565031982942432,0.8123667377398721
OK,40069,LOW,LOW,0.19545113721569607,0.7700574856285929
OK,40071,HIGH,LOW,0.22232807383149747,0.7245013396844299
OK,40073,LOW,NORMAL,0.12787849093581577,0.8412542871141597
OK,40075,LOW,LOW,0.21954714817999427,0.7431928919461164
OK,40077,HIGH,LOW,0.19679012345679012,0.7639506172839506
OK,40079,HIGH,LOW,0.18867376010233153,0.7759753474039188
OK,40081,LOW,LOW,0.17305906720948502,0.7740875651739162
OK,40083,LOW,LOW,0.22371754274857505,0.7184399408908592
OK,40085,LOW,LOW,0.19408502772643252,0.7710588856614735
